image_path,binary_label,crop_source_label,negative_subcategory,source_id,source_name,sha256,original_source_url,creator_author,license,license_url,download_date,split
D:\CropDiseaseProject\data\non_leaf_negatives\soil_ground\SRC-04_soil_ground_093887b58293.jpg,0,non_leaf,soil_ground,SRC-04,Kaggle Soil Types,093887b58293498627d32a9dbaed9dfee98dbdc183142e6e4ad99b423de2ad85,https://raw.githubusercontent.com/Shushanth101/Soil-Types-Dataset/main/train/Black_soil/0022011780.jpeg,Shushanth (Black Soil),CC0 / Public Domain,https://creativecommons.org/publicdomain/zero/1.0/,2026-09-23,train
D:\CropDiseaseProject\data\non_leaf_negatives\plant_parts_nonleaf\SRC-05_plant_parts_nonleaf_3763f1925b8e.jpg,0,non_leaf,plant_parts_nonleaf,SRC-05,Fruits-360,3763f1925b8e5304024f8bead460eed0bb7e80a7faa895ced216012cbf68eb1d,https://github.com/Horea94/Fruit-Images-Dataset/tree/master/Test/Pepper Red/211_100.jpg,Horea Muresan & Mihai Oltean (2018),CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,2026-09-23,train
D:\CropDiseaseProject\data\non_leaf_negatives\buildings_structures\SRC-02_buildings_structures_9f93f58f8859.jpg,0,non_leaf,buildings_structures,SRC-02,Google Open Images V7,9f93f58f885942ba0287cc503de10fe2eea1770d5fc337d1172b64749c034723,https://openimages.github.io/v7/validation/SRC-02_buildings_structures_9f93f58f8859.jpg,Google Open Images / Flickr Contributor,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,2026-09-23,test
D:\CropDiseaseProject\tomato_plantvillage\Tomato___Spider_mites Two-spotted_spider_mite\50a64fa8-b9c4-4680-8a60-59b128571bf2___Com.G_SpM_FL 8929.JPG,1,Tomato,leaf,SRC-IN-TOMATO,Internal Tomato In-Domain Training Split,1a925801a93a74d12d6bf63ba1ab37e525ad830ce29865a8ce1c478c4173f4d1,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Spider_mites Two-spotted_spider_mite\50a64fa8-b9c4-4680-8a60-59b128571bf2___Com.G_SpM_FL 8929.JPG,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,test
D:\CropDiseaseProject\chilli_cold\murda complex\IMG_4503.JPG,1,Chilli,leaf,SRC-IN-CHILLI,Internal Chilli In-Domain Training Split,d969f09157de13cee3957daaf013bb4d030473df9faffd794c0b1b1bde0b5dec,D:\CropDiseaseProject\chilli_cold\murda complex\IMG_4503.JPG,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,train
D:\CropDiseaseProject\data\non_leaf_negatives\buildings_structures\SRC-02_buildings_structures_26b88f341d07.jpg,0,non_leaf,buildings_structures,SRC-02,Google Open Images V7,26b88f341d07d2e5bf7be2106d936b0171803b6faccddb78fa2e0f610c75a109,https://openimages.github.io/v7/validation/SRC-02_buildings_structures_26b88f341d07.jpg,Google Open Images / Flickr Contributor,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,2026-09-23,train
D:\CropDiseaseProject\data\non_leaf_negatives\agri_tools_equipment\SRC-03_agri_tools_equipment_02645c5d5004.jpg,0,non_leaf,agri_tools_equipment,SRC-03,Wikimedia Commons,02645c5d5004c28f34ca1b62f30c0c16e2ca7b82885125d1597b2e373abb1fc0,https://commons.wikimedia.org/wiki/File:2019_Iowa_Tractor_Ride_with_Secretary_Perdue_(20190624-OSEC-DL-0175).jpg,USDAgov,PD,https://commons.wikimedia.org/wiki/Commons:Licensing,2026-09-23,train
D:\CropDiseaseProject\tomato_plantvillage\Tomato___Tomato_Yellow_Leaf_Curl_Virus\095dc511-bc42-4abe-ab82-2e3aaa6507f8___YLCV_GCREC 5283.JPG,1,Tomato,leaf,SRC-IN-TOMATO,Internal Tomato In-Domain Training Split,6909b192660162b8bdec0a258c26805a92c30d5555da95e7cd0add5c641bbd5e,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Tomato_Yellow_Leaf_Curl_Virus\095dc511-bc42-4abe-ab82-2e3aaa6507f8___YLCV_GCREC 5283.JPG,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,train
D:\CropDiseaseProject\data\non_leaf_negatives\plant_parts_nonleaf\SRC-05_plant_parts_nonleaf_ce30aaaab422.jpg,0,non_leaf,plant_parts_nonleaf,SRC-05,Fruits-360,ce30aaaab422d6b82f38f8b7487c0723fa5faf350c32c71f023fbf3586446c4b,https://github.com/Horea94/Fruit-Images-Dataset/tree/master/Test/Grape White/246_100.jpg,Horea Muresan & Mihai Oltean (2018),CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,2026-09-23,train
D:\CropDiseaseProject\data\non_leaf_negatives\plant_parts_nonleaf\SRC-05_plant_parts_nonleaf_717c59bfaa2f.jpg,0,non_leaf,plant_parts_nonleaf,SRC-05,Fruits-360,717c59bfaa2f05bea113a5dda54deb6486c67590d2960d9969791b74c1acb150,https://github.com/Horea94/Fruit-Images-Dataset/tree/master/Test/Tomato Cherry Red/212_100.jpg,Horea Muresan & Mihai Oltean (2018),CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,2026-09-23,train
D:\CropDiseaseProject\tomato_plantvillage\Tomato___Tomato_Yellow_Leaf_Curl_Virus\d072a6d1-e7de-4da2-a4e7-06c7f2e3c18b___YLCV_NREC 2180.JPG,1,Tomato,leaf,SRC-IN-TOMATO,Internal Tomato In-Domain Training Split,97144e4fbba6facb8c53c477ca4f890104d55e911e1409f0494f1a9ef1f031b4,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Tomato_Yellow_Leaf_Curl_Virus\d072a6d1-e7de-4da2-a4e7-06c7f2e3c18b___YLCV_NREC 2180.JPG,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,train
D:\CropDiseaseProject\data\non_leaf_negatives\human_hands_apparel\SRC-02_human_hands_apparel_3db5567b7b0c.jpg,0,non_leaf,human_hands_apparel,SRC-02,Google Open Images V7,3db5567b7b0ca00c06f5926132160e543e2c8073f7d273c02507e605188a8a99,https://openimages.github.io/v7/validation/SRC-02_human_hands_apparel_3db5567b7b0c.jpg,Google Open Images / Flickr Contributor,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,2026-09-23,val
D:\CropDiseaseProject\sugarcane_large\Diseases\Brown Spot\image1210.jpg,1,Sugarcane,leaf,SRC-IN-SUGARCANE,Internal Sugarcane In-Domain Training Split,c6a32fe0373aac63c929803751ffac085138b698d8d34a46b41fe62bce69efc6,D:\CropDiseaseProject\sugarcane_large\Diseases\Brown Spot\image1210.jpg,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,test
D:\CropDiseaseProject\sugarcane_large\Diseases\Yellow Leaf\Yellow Leaf665.jpg,1,Sugarcane,leaf,SRC-IN-SUGARCANE,Internal Sugarcane In-Domain Training Split,41209f159f46c14fb718656c6cbb7526cff704bc8bd4d9462e1e28d4e241197b,D:\CropDiseaseProject\sugarcane_large\Diseases\Yellow Leaf\Yellow Leaf665.jpg,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,train
D:\CropDiseaseProject\data\non_leaf_negatives\agri_tools_equipment\SRC-02_agri_tools_equipment_d8fa5fd6334b.jpg,0,non_leaf,agri_tools_equipment,SRC-02,Google Open Images V7,5a5c973c8e4ad9ff1d0e3f6e602bcfa1ce2cbeffe93eab42be9aa64c627483c8,https://openimages.github.io/v7/validation/SRC-02_agri_tools_equipment_d8fa5fd6334b.jpg,Google Open Images / Flickr Contributor,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,2026-09-23,train
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_4057.JPG,1,Chilli,leaf,SRC-IN-CHILLI,Internal Chilli In-Domain Training Split,b1ffab549d6b35b86da7b2cccc8557c7e7433943fe8bca3df2db03f4bf7abfeb,D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_4057.JPG,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,train
D:\CropDiseaseProject\data\non_leaf_negatives\soil_ground\SRC-04_soil_ground_ecc5e537854c.jpg,0,non_leaf,soil_ground,SRC-04,Kaggle Soil Types,ecc5e537854c8c071e6b99aaf73ca310707f8766d67fb46ce4bc816761bf888f,https://raw.githubusercontent.com/Shushanth101/Soil-Types-Dataset/main/train/Black_soil/0082474170.jpeg,Shushanth (Black Soil),CC0 / Public Domain,https://creativecommons.org/publicdomain/zero/1.0/,2026-09-23,train
D:\CropDiseaseProject\chilli_cold\murda complex\IMG_5635.JPG,1,Chilli,leaf,SRC-IN-CHILLI,Internal Chilli In-Domain Training Split,f28980793d97f9215875a7eea1ceb25fec72897f993d741b3004586b9e64c61b,D:\CropDiseaseProject\chilli_cold\murda complex\IMG_5635.JPG,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,train
D:\CropDiseaseProject\data\non_leaf_negatives\plant_parts_nonleaf\SRC-02_plant_parts_nonleaf_e714f63eb2b0.jpg,0,non_leaf,plant_parts_nonleaf,SRC-02,Google Open Images V7,e714f63eb2b040abf9115e2c97e3a506fda2d2c1d46978a45a283e6aa6121899,https://openimages.github.io/v7/validation/SRC-02_plant_parts_nonleaf_e714f63eb2b0.jpg,Google Open Images / Flickr Contributor,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,2026-09-23,train
D:\CropDiseaseProject\tomato_plantvillage\Tomato___Tomato_Yellow_Leaf_Curl_Virus\e57d98a6-6dfb-4818-945d-5244a359635b___YLCV_NREC 0226.JPG,1,Tomato,leaf,SRC-IN-TOMATO,Internal Tomato In-Domain Training Split,bab5505d8d390a8243c5a335067cd44e6d78179bb53d3208f2e0aecffec368bb,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Tomato_Yellow_Leaf_Curl_Virus\e57d98a6-6dfb-4818-945d-5244a359635b___YLCV_NREC 0226.JPG,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,test
D:\CropDiseaseProject\data\non_leaf_negatives\buildings_structures\SRC-02_buildings_structures_312323025130.jpg,0,non_leaf,buildings_structures,SRC-02,Google Open Images V7,3123230251308aafb4309764fb1aabf48312743cf5128fa862ed8eddfac2f8f4,https://openimages.github.io/v7/validation/SRC-02_buildings_structures_312323025130.jpg,Google Open Images / Flickr Contributor,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,2026-09-23,train
D:\CropDiseaseProject\data\non_leaf_negatives\plant_parts_nonleaf\SRC-05_plant_parts_nonleaf_52b9e3d094d4.jpg,0,non_leaf,plant_parts_nonleaf,SRC-05,Fruits-360,52b9e3d094d4b4d2a323daa3e1409fccc24ac17e50e79063674dfb1ce505f0a1,https://github.com/Horea94/Fruit-Images-Dataset/tree/master/Test/Pepper Yellow/153_100.jpg,Horea Muresan & Mihai Oltean (2018),CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,2026-09-23,train
D:\CropDiseaseProject\tomato_plantvillage\Tomato___Early_blight\1873e09f-31fd-4612-920a-861fac1af687___RS_Erly.B 7797.JPG,1,Tomato,leaf,SRC-IN-TOMATO,Internal Tomato In-Domain Training Split,a1941ee1bbe2accefc9c14407a6fc0e4777b661bf840a0127be58fdf95dfcbac,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Early_blight\1873e09f-31fd-4612-920a-861fac1af687___RS_Erly.B 7797.JPG,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,train
D:\CropDiseaseProject\grape_2024\healthy\healthy518.jpg,1,Grape,leaf,SRC-IN-GRAPE,Internal Grape In-Domain Training Split,64e3ce4f8e0c9071fe6bb74fc8d736356135ab703ac447860cc4ed5e3caf4ad0,D:\CropDiseaseProject\grape_2024\healthy\healthy518.jpg,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,val
D:\CropDiseaseProject\tomato_plantvillage\Tomato___Spider_mites Two-spotted_spider_mite\abda41fb-2ee5-4865-a198-e6c088b51178___Com.G_SpM_FL 9482.JPG,1,Tomato,leaf,SRC-IN-TOMATO,Internal Tomato In-Domain Training Split,4a317d3f90d7e40611b698e2484e9f014ee7178ccf778a331adba50202703795,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Spider_mites Two-spotted_spider_mite\abda41fb-2ee5-4865-a198-e6c088b51178___Com.G_SpM_FL 9482.JPG,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,train
D:\CropDiseaseProject\data\non_leaf_negatives\soil_ground\SRC-04_soil_ground_049773e0514b.jpg,0,non_leaf,soil_ground,SRC-04,Kaggle Soil Types,049773e0514be7300b58a029fe1edba43df299daba1a4de86a175385d50f03e7,https://raw.githubusercontent.com/Shushanth101/Soil-Types-Dataset/main/train/Black_soil/0151515878.jpeg,Shushanth (Black Soil),CC0 / Public Domain,https://creativecommons.org/publicdomain/zero/1.0/,2026-09-23,train
D:\CropDiseaseProject\data\non_leaf_negatives\soil_ground\SRC-04_soil_ground_d0b6cb5d77e0.jpg,0,non_leaf,soil_ground,SRC-04,Kaggle Soil Types,d0b6cb5d77e016c8eeb2a7a013e0ae7b7b894bf6fdba947ac8d6751684973dab,https://raw.githubusercontent.com/Shushanth101/Soil-Types-Dataset/main/train/Alluvial_soil/0041084201.jpeg,Shushanth (Alluvial Soil),CC0 / Public Domain,https://creativecommons.org/publicdomain/zero/1.0/,2026-09-23,train
D:\CropDiseaseProject\data\non_leaf_negatives\human_hands_apparel\SRC-02_human_hands_apparel_299d1020d4d7.jpg,0,non_leaf,human_hands_apparel,SRC-02,Google Open Images V7,299d1020d4d776cd1a9c5a02deb81f696c10227a3f7e750742721baa4f318c1d,https://openimages.github.io/v7/validation/SRC-02_human_hands_apparel_299d1020d4d7.jpg,Google Open Images / Flickr Contributor,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,2026-09-23,train
D:\CropDiseaseProject\sugarcane_large\Diseases\Pokkah Boeng\Pokkah Boeng133.jpg,1,Sugarcane,leaf,SRC-IN-SUGARCANE,Internal Sugarcane In-Domain Training Split,f532dab531269b62f16fa3fbd3431e2661a004f084270e0836987f49a16c563f,D:\CropDiseaseProject\sugarcane_large\Diseases\Pokkah Boeng\Pokkah Boeng133.jpg,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,train
D:\CropDiseaseProject\data\non_leaf_negatives\human_hands_apparel\SRC-02_human_hands_apparel_b5f7c0a5f800.jpg,0,non_leaf,human_hands_apparel,SRC-02,Google Open Images V7,b5f7c0a5f800473bcfcfdde50317d0904c9de56fbf8a78aa93c2ff9fcca092ab,https://openimages.github.io/v7/validation/SRC-02_human_hands_apparel_b5f7c0a5f800.jpg,Google Open Images / Flickr Contributor,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,2026-09-23,train
D:\CropDiseaseProject\data\non_leaf_negatives\human_hands_apparel\SRC-02_human_hands_apparel_1d2fbbe55366.jpg,0,non_leaf,human_hands_apparel,SRC-02,Google Open Images V7,1d2fbbe55366960191b41104873547ea6410bad27df2811ecbf0a0f9f86bf03c,https://openimages.github.io/v7/validation/SRC-02_human_hands_apparel_1d2fbbe55366.jpg,Google Open Images / Flickr Contributor,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,2026-09-23,train
D:\CropDiseaseProject\data\non_leaf_negatives\soil_ground\SRC-04_soil_ground_6550d132c6e6.jpg,0,non_leaf,soil_ground,SRC-04,Kaggle Soil Types,6550d132c6e67d7a54983c201182d02c47f1b708672cbd543dac15079781673f,https://raw.githubusercontent.com/Shushanth101/Soil-Types-Dataset/main/train/Black_soil/0099219477.jpg,Shushanth (Black Soil),CC0 / Public Domain,https://creativecommons.org/publicdomain/zero/1.0/,2026-09-23,train
D:\CropDiseaseProject\data\non_leaf_negatives\agri_tools_equipment\SRC-03_agri_tools_equipment_26c3b0d12c65.jpg,0,non_leaf,agri_tools_equipment,SRC-03,Wikimedia Commons,26c3b0d12c65e6a0bccec300c34c3af89ca31fbcb71d3751bbc45b1d81243318,https://commons.wikimedia.org/wiki/File:Farm_machinery_near_the_Grange_-_geograph.org.uk_-_1799365.jpg,Michael Trolove,CC-BY-SA-2.0,https://creativecommons.org/licenses/by-sa/2.0,2026-09-23,val
D:\CropDiseaseProject\data\non_leaf_negatives\agri_tools_equipment\SRC-02_agri_tools_equipment_fc576b873e00.jpg,0,non_leaf,agri_tools_equipment,SRC-02,Google Open Images V7,bd9a61cfdf27fe574d1c421531938dbb7036e7dd3047990d3a8655355ec34160,https://openimages.github.io/v7/validation/SRC-02_agri_tools_equipment_fc576b873e00.jpg,Google Open Images / Flickr Contributor,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,2026-09-23,train
D:\CropDiseaseProject\data\non_leaf_negatives\plant_parts_nonleaf\SRC-05_plant_parts_nonleaf_60449d2d35bb.jpg,0,non_leaf,plant_parts_nonleaf,SRC-05,Fruits-360,60449d2d35bbbef24fa0019ebafd683068134b27c4d99a7aa25f885dd7dc8fe8,https://github.com/Horea94/Fruit-Images-Dataset/tree/master/Test/Grape Pink/326_100.jpg,Horea Muresan & Mihai Oltean (2018),CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,2026-09-23,train
D:\CropDiseaseProject\data\non_leaf_negatives\agri_tools_equipment\SRC-02_agri_tools_equipment_24c62c173856.jpg,0,non_leaf,agri_tools_equipment,SRC-02,Google Open Images V7,fb843dff5d82dbad660c090b3861df33697904d0c70138c11eafb87ccf0f9bb5,https://openimages.github.io/v7/validation/SRC-02_agri_tools_equipment_24c62c173856.jpg,Google Open Images / Flickr Contributor,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,2026-09-23,train
D:\CropDiseaseProject\data\non_leaf_negatives\plant_parts_nonleaf\SRC-05_plant_parts_nonleaf_3bc88884391e.jpg,0,non_leaf,plant_parts_nonleaf,SRC-05,Fruits-360,3bc88884391ee951edec19649805ad7073581a5c27725880ff757c0bd6e406db,https://github.com/Horea94/Fruit-Images-Dataset/tree/master/Test/Pepper Green/120_100.jpg,Horea Muresan & Mihai Oltean (2018),CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,2026-09-23,train
D:\CropDiseaseProject\data\non_leaf_negatives\buildings_structures\SRC-02_buildings_structures_a926b3cddfd8.jpg,0,non_leaf,buildings_structures,SRC-02,Google Open Images V7,a926b3cddfd82a24b01dfd2b11115df14f4f65a4e138f1e5568c553fab8442f3,https://openimages.github.io/v7/validation/SRC-02_buildings_structures_a926b3cddfd8.jpg,Google Open Images / Flickr Contributor,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,2026-09-23,train
D:\CropDiseaseProject\data\non_leaf_negatives\buildings_structures\SRC-02_buildings_structures_3874ae607e7d.jpg,0,non_leaf,buildings_structures,SRC-02,Google Open Images V7,3874ae607e7d8c446c9f52c81a6aab08546cc49963875196b6a4d51c134f31a7,https://openimages.github.io/v7/validation/SRC-02_buildings_structures_3874ae607e7d.jpg,Google Open Images / Flickr Contributor,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,2026-09-23,test
D:\CropDiseaseProject\grape_niphad\Downy Mildew\Downy Mildew_515.jpg,1,Grape,leaf,SRC-IN-GRAPE,Internal Grape In-Domain Training Split,e39a55b7210c81d7e9cef027dafadd341561718bb9a7db46122d0aa7d6194508,D:\CropDiseaseProject\grape_niphad\Downy Mildew\Downy Mildew_515.jpg,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,train
D:\CropDiseaseProject\chilli_cold\nutritional deficiency\IMG_3371.JPG,1,Chilli,leaf,SRC-IN-CHILLI,Internal Chilli In-Domain Training Split,b93d164f996657388d6cf9be663a48637b4a30966854030240cfb2cf4236f971,D:\CropDiseaseProject\chilli_cold\nutritional deficiency\IMG_3371.JPG,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,train
D:\CropDiseaseProject\sugarcane_maharashtra\Healthy\healthy (76).jpeg,1,Sugarcane,leaf,SRC-IN-SUGARCANE,Internal Sugarcane In-Domain Training Split,789f368f7307e2f11be1befbdd67f46f62a6eebfd496bd31656d5c8f39bd6edc,D:\CropDiseaseProject\sugarcane_maharashtra\Healthy\healthy (76).jpeg,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,train
D:\CropDiseaseProject\grape_niphad\Healthy Leaves\Healthy Leaves_176.jpg,1,Grape,leaf,SRC-IN-GRAPE,Internal Grape In-Domain Training Split,c2fcc20d5afd0fa9f62cd8e2a936b70d7e6a5a08a1440490260a2c8631b1d938,D:\CropDiseaseProject\grape_niphad\Healthy Leaves\Healthy Leaves_176.jpg,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,test
D:\CropDiseaseProject\data\non_leaf_negatives\plant_parts_nonleaf\SRC-05_plant_parts_nonleaf_9509668fa786.jpg,0,non_leaf,plant_parts_nonleaf,SRC-05,Fruits-360,9509668fa7863c437bac3a8f66e727136a4e31c00d6bff8f886eb00c26696a04,https://github.com/Horea94/Fruit-Images-Dataset/tree/master/Test/Pepper Yellow/145_100.jpg,Horea Muresan & Mihai Oltean (2018),CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,2026-09-23,train
D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight054.jpg,1,Grape,leaf,SRC-IN-GRAPE,Internal Grape In-Domain Training Split,a98c1d27d5d19dddd8ab83139facd8607ed8b8920d81cec36bb94c8cbab373b2,D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight054.jpg,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,train
D:\CropDiseaseProject\chilli_cold\healthy\IMG_4835.JPG,1,Chilli,leaf,SRC-IN-CHILLI,Internal Chilli In-Domain Training Split,4dc3040677c4937fa30f533050ce8135e59b213cc4d193e227522eff4f3608e7,D:\CropDiseaseProject\chilli_cold\healthy\IMG_4835.JPG,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,test
D:\CropDiseaseProject\data\non_leaf_negatives\human_hands_apparel\SRC-02_human_hands_apparel_f3b0e657b0a2.jpg,0,non_leaf,human_hands_apparel,SRC-02,Google Open Images V7,f3b0e657b0a28183c74ba9c50fdf96ea3ec8671fd35606550fc84f35e8303f07,https://openimages.github.io/v7/validation/SRC-02_human_hands_apparel_f3b0e657b0a2.jpg,Google Open Images / Flickr Contributor,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,2026-09-23,train
D:\CropDiseaseProject\data\non_leaf_negatives\plant_parts_nonleaf\SRC-05_plant_parts_nonleaf_0f9daa7139cf.jpg,0,non_leaf,plant_parts_nonleaf,SRC-05,Fruits-360,0f9daa7139cf2c4eab4e45290b9290d55392c146a938030bbbf0d0484da8ef1a,https://github.com/Horea94/Fruit-Images-Dataset/tree/master/Test/Grape Blue/155_100.jpg,Horea Muresan & Mihai Oltean (2018),CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,2026-09-23,train
