filename,folder,class_label,exclusion_reason,sha256_hash,details
Spot Leaf -  (117).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track B),ee80aea326d99f3c4a11ec1ad0bb6456c1a0d4b9bec7fd497a2442ad97a4f909,Exact SHA-256 match with Track B evaluation sample
Spot Leaf -  (118).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track B),ee80aea326d99f3c4a11ec1ad0bb6456c1a0d4b9bec7fd497a2442ad97a4f909,Exact SHA-256 match with Track B evaluation sample
Spot Leaf -  (119).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track B),3c34275a873fa7d686508a8a139af149168e2a6a435ede5e5480653ad1c05106,Exact SHA-256 match with Track B evaluation sample
Spot Leaf -  (12).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track B),ffd38a70000dd5961cae7386073af6799d15680a10aa584b157c19f0d7f30767,Exact SHA-256 match with Track B evaluation sample
Spot Leaf -  (120).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track B),58a9d164a12f936483065dffef597e416cc5a4e2d78e040dd80a6894503be37b,Exact SHA-256 match with Track B evaluation sample
Spot Leaf -  (121).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track B),0b788714489b6ec390d32fec366f4cb99c7d998b749c248b68f62adff8bfff31,Exact SHA-256 match with Track B evaluation sample
Spot Leaf -  (122).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track B),58a9d164a12f936483065dffef597e416cc5a4e2d78e040dd80a6894503be37b,Exact SHA-256 match with Track B evaluation sample
Spot Leaf -  (123).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track B),99666541df6673f455d895f73e6cf1649b1b3895dbc56cb7e971b5c3ade6576f,Exact SHA-256 match with Track B evaluation sample
Spot Leaf -  (124).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track B),99666541df6673f455d895f73e6cf1649b1b3895dbc56cb7e971b5c3ade6576f,Exact SHA-256 match with Track B evaluation sample
Spot Leaf -  (125).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track B),ff51ab8579e5218bd97d86076529ae9d3d63c311e3140d4330facf935386d85a,Exact SHA-256 match with Track B evaluation sample
Spot Leaf -  (126).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track B),010f9cd99277e5ec412e895d3ea32c2cd1f6167f5b849fced750c6ee5e623162,Exact SHA-256 match with Track B evaluation sample
Spot Leaf -  (127).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track B),61345d9abbd1660f6a53d2d51d2f189fd6f04a7d303c5c8a982a2ab2092d59b4,Exact SHA-256 match with Track B evaluation sample
Spot Leaf -  (128).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track B),bc2edc5e2de26706b6908eb7300ac8f58a456c7d3f0ba25a7c9c97183ebcc652,Exact SHA-256 match with Track B evaluation sample
Spot Leaf -  (129).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track B),a59c5514f682652ade3a26bb52aa34877da502756d8c5a7c6092a814fd1330e0,Exact SHA-256 match with Track B evaluation sample
Spot Leaf -  (134).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track C),586eda4fe6225c735523c72179f460745d16a9aaba57a1341548166a12ed2e54,Exact SHA-256 match with Track C evaluation sample
Spot Leaf -  (135).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track C),6b5538e4d4c82ea1ad61533f91858c99ff46dcdbefa6abeb8b12004e23acaa72,Exact SHA-256 match with Track C evaluation sample
Spot Leaf -  (136).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track C),5979d270016437fbbd50ca3eefe0eff21bcdbc9605a5bc079ba98977a3e887fc,Exact SHA-256 match with Track C evaluation sample
Spot Leaf -  (137).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track C),e6b71481c345feaaba448ecc7a2d7db31c13946e92382c5cd536354cdf637b9b,Exact SHA-256 match with Track C evaluation sample
Spot Leaf -  (138).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track C),e6b71481c345feaaba448ecc7a2d7db31c13946e92382c5cd536354cdf637b9b,Exact SHA-256 match with Track C evaluation sample
Spot Leaf -  (139).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track C),2af19e0e677fca97a975c8b37be22fe657fbbea8a9076d3229ad8cf0bc21167c,Exact SHA-256 match with Track C evaluation sample
Spot Leaf -  (14).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track C),02392c08b19b97f49b090273e9c3435796aaf8217cac563ad9c2da01afbca8de,Exact SHA-256 match with Track C evaluation sample
Spot Leaf -  (140).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track C),accce8fafe2ecc292d015443f9836a3df5545141a7b4dbe5a1f84cd2727d36fe,Exact SHA-256 match with Track C evaluation sample
Spot Leaf -  (141).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track C),ac432f546eca6726829ecea0333e5bedd71b5216fa42c147060ff5e9d56eb69b,Exact SHA-256 match with Track C evaluation sample
Spot Leaf -  (142).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track C),a9d17fdbe322b5adb009c33603a14c992fbaa15b805a048924e0508a648935bc,Exact SHA-256 match with Track C evaluation sample
Spot Leaf -  (143).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track C),a9d17fdbe322b5adb009c33603a14c992fbaa15b805a048924e0508a648935bc,Exact SHA-256 match with Track C evaluation sample
Spot Leaf -  (144).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track C),8560a810a0a70e9587dd6054f73a54e4acc373bf53538754a53a70d44214c2dc,Exact SHA-256 match with Track C evaluation sample
Spot Leaf -  (145).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track C),ffa56d5857feba0edcfcbf8b82bd6df9f30d79923e73e48e6f590c077b23dfcf,Exact SHA-256 match with Track C evaluation sample
Spot Leaf -  (146).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track C),e5c2eabe84354798dc5d47a1eb04de13dd332a00215afc03f10f65895d4db7f2,Exact SHA-256 match with Track C evaluation sample
Spot Leaf -  (147).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track C),ffa56d5857feba0edcfcbf8b82bd6df9f30d79923e73e48e6f590c077b23dfcf,Exact SHA-256 match with Track C evaluation sample
Spot Leaf -  (148).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track C),66c8c6aefb9eb34d6a927fc5bdc0c6b9652daeb519b5c04664bb9f2d79903801,Exact SHA-256 match with Track C evaluation sample
Spot Leaf -  (149).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track C),d816af06ff6fd88476331d180044f24cad14f520dc9314f97088480bf6fe58c4,Exact SHA-256 match with Track C evaluation sample
Spot Leaf -  (15).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track C),9f227086573e7cdb5cfc41c1da9516dfa13015e8099f784ba5bfc111edab2022,Exact SHA-256 match with Track C evaluation sample
Spot Leaf -  (150).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track C),235ed01a1eace2f9aa10077a9392f0b094df6a1d51d7dc0ae1b80e79fd5da0fd,Exact SHA-256 match with Track C evaluation sample
Spot Leaf -  (151).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track C),7c61330e1de912a242c87ebcb374fd71b1177f94e64112b540e1261e1f6ecec7,Exact SHA-256 match with Track C evaluation sample
Spot Leaf -  (152).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track C),bbae253f345fad7f740e2665e208a7fd5c4acda125ab738a683bb7dd446a6bc8,Exact SHA-256 match with Track C evaluation sample
Spot Leaf -  (153).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track C),5722dd64ef7d26ec079f8ca26a56a17b22b51184deeb78887596727d103cee66,Exact SHA-256 match with Track C evaluation sample
Spot Leaf -  (154).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track C),831a13b20cbf35f78dd1c082ccabfc56cbc45e494dec8fc78e771bb571b71034,Exact SHA-256 match with Track C evaluation sample
Spot Leaf -  (196).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,bb92fd6d9c881257650a8cc12b735030742b00b11e2cef9d40c5f37bfbbb1627,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (200).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,27a165c31113512943ad0d669d6fbb785a1f3afc00b04ff055be191f5afdb4d9,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (203).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,71ff4f77469467abeee34c5cf7e5357eef464d214b6c0af9d03917267663e6df,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (205).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,90c55260ecde4b507361b064df7d1403a6204a2699ca768a3f0a8a2a56440a18,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (207).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,49f9e095f01727eaf90e7d461e65a3fcd646524d59c0e0ab20e45235eb5f9809,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (209).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,6e1cada5dab6823ba61e3a3a5c29c69b682e4d72fe4e018611d451a549f1e720,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (213).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,e43f88009e1530178aede28efbc808c016b2eedc788867095ccf00e0e3a62d3c,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (216).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,25164af9d53174de237eeb19a496faff43a8d2ceed204cf7c22b1acbce41531d,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (218).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,ddc0c3e3bfb8d8115f0a203cb660755655e24bf902906dbd790e6b1dcf3b45ad,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (219).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,7f633a8e9f4a72e568d51c4afd1449fb34d82ace56480d8cf1a1413c1d3fbdbe,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (22).jpg,Spot Leaf,cerocospora,EVAL_SET_NEAR_DUPLICATE,65b2cd610c263f2275f718107419991f0d8ea208050e29d439b6452a3fe31b65,dHash Hamming distance 1 <= 5 to eval image: results\model_robustness_audit\audit_images\track_c_realworld\chilli\cerocospora\ulfa_field_Spot_Leaf_-___139_.jpg
Spot Leaf -  (220).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,ffcbf362213b3d2db54e2612ed40475b9911485d8092964ce19d547adefe1b1d,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (226).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,22d58f41f870aea43b9985dec150c11151e440aacdbedd29685bad1aa6d38312,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (228).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,6ccfc56837a804843d975a9d883478adad9d64a45f33c2ce2b524f7ca7f72c48,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (229).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,7ff68e7a5bc2a2de2d2aa048baaf9d3333041e8b30847284c9d5ff2bcae8c405,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (230).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,412368f7f9d24979943abca9233ce550850271718b5e3968a285c000a4d29fd5,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (232).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,863cdd29af2754dd0e6aafd87b83f304da7e9f03b61f8ecc267c786ebb2203c2,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (234).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,f4f5b5227f459965fdc14c969f6224b0a99acb46bbf91c787b0d27d52bdaf4e3,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (235).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,c99dcc56d905c2da1fdd26b9a3e53e42a0251b54c467be5741a6811015de9178,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (237).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,eda1970e0dd70cedf6b4083cb64446be8ea3216b94fa6e713885351d003c510e,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (239).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,250770bba27de9c6d85f528efcdc0733428c99f3d97af4647e9415dedcfd5783,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (241).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,c455be883723988eb777658e268391f7f3e188560586229f7faa28a5425e12a5,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (242).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,31dcda21359ef2e4fdd39cf332eebc2f905442818efbf8e6d5eec3b5406f179b,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (244).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,f2e4555566068e77c594247d7b02bd032b8f525d61bdabd824522bedcb44acd6,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (246).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,50af1f2356fe2de1ed552f9fe79840a433a1b7092acef10e073737155599a36d,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (249).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,e2c250041dfcc3571c5894357dfeb9273348872d07af4fb0e3827af631b9e3da,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (251).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,dd803207ed8880b613defbc187eb50a32127eb961d62ad3d53cc695703cfe5e6,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (253).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,472790ee0acbacf5dd52e0b1ccbcaffc719c9b05cc472246a0a818c06791e4de,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (255).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,bff5a0bc3b4507356e0db50489ed0be8af1a861b9bcec35135ce91f4aee0ab50,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (256).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,169f124b44fb68af2c6936b4e295aae51bc8f896ed988cf3737091cd16ec9695,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (258).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,8d450fbb7e609651bc06fd4d2eacd5d5706fb485fb4fb231b003bb781cfec07c,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (259).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,d34f8f9aa85ed996457cdfc79499137baf7d29a6a20104b159237a079025e21b,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (263).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,417657db49faaee148fc62f154b14defc201aafb86ed5b4a35be8280f763a1ab,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (264).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,9cb95daa1ef385765e1272cba4a8bb42bd3578854a4a1668513fb2a33425ffae,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (266).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,0261c9eba3fb797c06fafbc97c1df5a41d4d0fecaf749024847e29e8d7ac42aa,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (267).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,9f7a9ec05dd36cae63efa30b066456527dc20350bf356683a892f6deb2370f38,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (268).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,f23751a460556a87afc8342bcbff5cd3ae3744388a5c3a6e3e723052e3a422ec,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (270).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,36232ff9d5d429614ae2da8fe164f928e647353f35f87c545fef5531c7c731cb,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (271).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,5cfc8951db8c5a951c8c8f7dfa84385a60a794c043a315e8f00eecfcfaed685c,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (272).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,738818b41b6a6ef72d4d84932e497cc8e9fe6db07b157377b7342cbda465798e,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (274).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,a9468d248451314b1258c43afa9ad4a9db94da358b9f62de4a37e400333a4d17,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (276).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,ea8fdcd888d295540beb55e4ddaf1e382ee358f214e2251fb917e165f85c3a31,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (278).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,ad0751e41d2f84d396b85f484cc0c51d4e152c6610063214b88248046d86b261,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (280).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,7f0096ed916458d331547bc9dc153eb160ebb34875aff2b51a9b1975f7762928,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (282).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,83b405787eebd788fee0d00b3572ea5598282a2bf1940eeed1223fe9a319bbaa,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (284).JPG,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,df5cfaa60a9cd5ea39822b6613fbf08e53b971b739056d530d8e880249cd9095,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (286).jpg,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,1e07a08aa3adf464d66e4c752a558ef9f198ec51c07a165f3d3cf6e945581167,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (293).jpg,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,bd5f92ad6ad58b47042c0e03e31cd09a35b270dda008ee3fa5f372d241b05279,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (295).jpg,Spot Leaf,cerocospora,EVAL_SET_NEAR_DUPLICATE,f87431cf16660c53f56303e2ff6ce166ab5965eac833e53a037f56936ec9567e,dHash Hamming distance 1 <= 5 to eval image: results\model_robustness_audit\audit_images\track_b_external\chilli\cerocospora\ulfa_Spot_Leaf_-___104_.jpg
Spot Leaf -  (304).jpg,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,c581cba96e471bdaf01de6c94ec7d77da565aa463e541d6694ff67f995583bce,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (309).jpg,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,1a0174672a642602f0c42400851361cce3ce342f0c630ce7073787be5d422521,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (312).jpg,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,daab165f0d3bcefdef5747655a157acf79f3a6b67cfcdad43c4a1a28c665c124,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (318).jpg,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,d2ee15e6d5f3bc9effe8ffd3174c263eea1a07bf68341e94d15f99732c0ffc96,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (323).jpg,Spot Leaf,cerocospora,EVAL_SET_NEAR_DUPLICATE,c4672797465fc3bea146622f17e00f49c79e14d2fd676322f989e699e06db8c5,dHash Hamming distance 1 <= 5 to eval image: results\model_robustness_audit\audit_images\track_c_realworld\chilli\cerocospora\ulfa_field_Spot_Leaf_-___141_.jpg
Spot Leaf -  (324).jpg,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,c4672797465fc3bea146622f17e00f49c79e14d2fd676322f989e699e06db8c5,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (325).jpg,Spot Leaf,cerocospora,EVAL_SET_NEAR_DUPLICATE,860f5b245c916d6de9197b388c96fcf6767b25327c187457b87d6966534325b2,dHash Hamming distance 1 <= 5 to eval image: results\model_robustness_audit\audit_images\track_c_realworld\chilli\cerocospora\ulfa_field_Spot_Leaf_-___142_.jpg
Spot Leaf -  (329).jpg,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,a01a1196d680c26c8cf2a81f415e8cb8e4252cb8e10059655d3d847cd6b1633d,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (334).jpg,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,c789c4496b7e22e3e23972e1b6a4d9ff3860c7703d4c0807ed29e47c34911a3f,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (338).jpg,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,f51739bd0ae4cad3adff0d0944295fd7d9a6bc50589ccb2b235c273ffb3e817b,Identical SHA-256 to earlier Ulfa image file
Spot Leaf -  (342).jpg,Spot Leaf,cerocospora,EVAL_SET_NEAR_DUPLICATE,2307c48178fc68947a4e8fa076ecd7c320951a482885f45f55dd0b9460ef987e,dHash Hamming distance 0 <= 5 to eval image: results\model_robustness_audit\audit_images\track_b_external\chilli\cerocospora\ulfa_Spot_Leaf_-___10_.jpg
Spot Leaf -  (344).jpg,Spot Leaf,cerocospora,INTERNAL_DATASET_DUPLICATE,2307c48178fc68947a4e8fa076ecd7c320951a482885f45f55dd0b9460ef987e,Identical SHA-256 to earlier Ulfa image file
