image_path,relative_path,class_label,class_index,source_dataset,source_type,sha256_hash
D:\CropDiseaseProject\chilli_cold\nutritional deficiency\IMG_3468.JPG,chilli_cold\nutritional deficiency\IMG_3468.JPG,nutritional deficiency,3,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,207e7704324fd1b3569972585018e787277b41f96158e501db954ca172609165
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_4785.JPG,chilli_cold\cerocospora\IMG_4785.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,355cb02c9148c4a9dfa9e78a29c51bae25a0064eef5ae2f23952778eca2be5ba
D:\CropDiseaseProject\chilli_cold\nutritional deficiency\IMG_3288.JPG,chilli_cold\nutritional deficiency\IMG_3288.JPG,nutritional deficiency,3,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,21e842624530ceb15e38a588e107af452b5583e3fcbc95a48d9a85b731d45b28
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_5458.JPG,chilli_cold\cerocospora\IMG_5458.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,7d24772e708cd9762fef5f8b73e926112833ea07accad73e1ca7888c5630d056
D:\CropDiseaseProject\chilli_cold\nutritional deficiency\IMG_4919.JPG,chilli_cold\nutritional deficiency\IMG_4919.JPG,nutritional deficiency,3,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,a5820c471d3520b94f4630e927ae2126b5b1faafac11c278cace820912878992
D:\CropDiseaseProject\chilli_cold\healthy\IMG_3951.JPG,chilli_cold\healthy\IMG_3951.JPG,healthy,1,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,b8c3ae90c70c2603ce81b65885fdfce926bbd8f2cab2409160931678731c0e79
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_5159.JPG,chilli_cold\cerocospora\IMG_5159.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,d72933d1953c890702873f5aa053aa23b9aa8cbd56fd604e6e7c3cbcc3c466ad
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_4983.JPG,chilli_cold\cerocospora\IMG_4983.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,d3855c39178efd073a4d90a77ac92dd0d6966e76733901dd4ed5549dc0290267
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_5027.JPG,chilli_cold\cerocospora\IMG_5027.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,9d092eee6a877098b49e021c9b6c4e6c329f7037317b9b5e80a422e7396db7eb
D:\CropDiseaseProject\chilli_cold\nutritional deficiency\IMG_3548.JPG,chilli_cold\nutritional deficiency\IMG_3548.JPG,nutritional deficiency,3,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,1b8667d3b391d218057c951fab669add1941bdb82d8b3eea25e2488135cf5518
D:\CropDiseaseProject\chilli_cold\nutritional deficiency\IMG_4469.JPG,chilli_cold\nutritional deficiency\IMG_4469.JPG,nutritional deficiency,3,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,54803c0aab42422a6e75872b8aeddffd9e2ddcb07b36bcea2fdeff225b03ebd3
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_5404.JPG,chilli_cold\cerocospora\IMG_5404.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,e1df10c0b4acbe98f4e34c8f72ee9bc1a2287eee4682b263afff60d88994e0c8
D:\CropDiseaseProject\chilli_cold\murda complex\IMG_3252.JPG,chilli_cold\murda complex\IMG_3252.JPG,murda complex,2,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,91675dc9f2f0f7277aec3baa620ad016bc9ddcd07e53e78c6a24abd21c58ff6e
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_5451.JPG,chilli_cold\cerocospora\IMG_5451.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,e841434a4c5f934e47e5e7ea170f970d6af0fed5fdd37959a83c559c8612a6dd
D:\CropDiseaseProject\chilli_cold\healthy\IMG_3452.JPG,chilli_cold\healthy\IMG_3452.JPG,healthy,1,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,733e1821f9ab231ee2818339fb1605bd04dc564fe01626066b5906c4758051bb
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_5250.JPG,chilli_cold\cerocospora\IMG_5250.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,8c0355673563135d08d2249a4ee62023eba4156f557173d5b5becd0f1c9c482e
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_4540.JPG,chilli_cold\cerocospora\IMG_4540.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,f5272ff890e31ac597fb9a7cf15d1df84eb732bbc254b8a8bf6220715c178e86
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_5145.JPG,chilli_cold\cerocospora\IMG_5145.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,51de321c8e3776cd07046768f6a9c8f108aa6c0d5c2e6ce0816c6daca90d8963
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_4103.JPG,chilli_cold\cerocospora\IMG_4103.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,445a7cbd15bcc67a870b29370de7ae76daae7c25020f69a9944ca909b41477c4
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_4595.JPG,chilli_cold\cerocospora\IMG_4595.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,18408995f59ed9520bf7b9e2c39419c600036a9d5fe15b8ec190c6fc70ff90c0
D:\CropDiseaseProject\chilli_cold\nutritional deficiency\IMG_3310.JPG,chilli_cold\nutritional deficiency\IMG_3310.JPG,nutritional deficiency,3,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,d49033d65e80dd947b9306357b384c3d8f09e4bf726fdcaaea16afeda1c8e70b
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_4031.JPG,chilli_cold\cerocospora\IMG_4031.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,fcdf0a21a6b9e8fe805cf54e025c058a86e7b53999af0d771036a0070fa728cc
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_3577.JPG,chilli_cold\cerocospora\IMG_3577.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,7d2119543e01695b9dd4b9d67996148fb94a8d3ce2b3a5205fa2deaac5d4d00f
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_5231.JPG,chilli_cold\cerocospora\IMG_5231.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,a28a53fd350224655d143faf91bf31150a6b1bdcb8dcb4b3fb25cf54319f8dfb
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_4166.JPG,chilli_cold\cerocospora\IMG_4166.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,090df3f9b25019dfcb3cac2b4168e7a23d9dcf090d9bd446fe0479bb807f0877
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_4104.JPG,chilli_cold\cerocospora\IMG_4104.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,94cbf0407bdf59486e53cf77014bee56aa0585ef34b17e604f38265037a58ed5
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_5051.JPG,chilli_cold\cerocospora\IMG_5051.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,1c4559f74712618019e7cdcaf283fb2685bd650aaa81caba48510e556fb753f6
D:\CropDiseaseProject\chilli_cold\murda complex\IMG_3335.JPG,chilli_cold\murda complex\IMG_3335.JPG,murda complex,2,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,04143fbf972ac5b2d38d99be0758fb1eeef260742d35a05c0c00c82454914cd1
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_5462.JPG,chilli_cold\cerocospora\IMG_5462.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,abe59689b36e82b449322f4128fd3e3a92834b6131f42d027beaa02358ce1d2b
D:\CropDiseaseProject\chilli_cold\murda complex\IMG_4272.JPG,chilli_cold\murda complex\IMG_4272.JPG,murda complex,2,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,08c42ed52712e53522167d80124a6d4d2724b90c165f1f2dcc7e625b8ea45b16
D:\CropDiseaseProject\chilli_cold\murda complex\IMG_4479.JPG,chilli_cold\murda complex\IMG_4479.JPG,murda complex,2,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,0bd1b18e501b326fbea3f9ad3c6d301f3840a4a7d6e966e2708b209b66ef7afa
D:\CropDiseaseProject\chilli_cold\healthy\IMG_3882.JPG,chilli_cold\healthy\IMG_3882.JPG,healthy,1,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,ca446128c3616f04ed0f7ad728f302dceb70f2badd991ee8ebed0eb9ff259649
D:\CropDiseaseProject\chilli_cold\powdery mildew\IMG_5512.JPG,chilli_cold\powdery mildew\IMG_5512.JPG,powdery mildew,4,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,64da762a5555fce716c4e5c0cf3cb1938ec1da55b5617645b80297d2dc8c8842
D:\CropDiseaseProject\chilli_cold\nutritional deficiency\IMG_3345.JPG,chilli_cold\nutritional deficiency\IMG_3345.JPG,nutritional deficiency,3,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,8f6625d4236832a3ebe77e29a1fdab4c7d3da5994ae463a6fc342ad12d308c6c
D:\CropDiseaseProject\chilli_cold\nutritional deficiency\IMG_4448.JPG,chilli_cold\nutritional deficiency\IMG_4448.JPG,nutritional deficiency,3,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,77ce18afcd7917955a6dd3c40c14d80d290cd2dc3d7d6c941ed81a53b7cbdd13
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_4675.JPG,chilli_cold\cerocospora\IMG_4675.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,779f46e7e183cd85c192f0666199b5ba6b79c839c71305a1b1b960d595aec722
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_5307.JPG,chilli_cold\cerocospora\IMG_5307.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,bedc47ef42a469f47c8babe22cc1d42e5e440487c937106cbb512f58cdbbd9df
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_4847.JPG,chilli_cold\cerocospora\IMG_4847.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,def8da2f31770a9519eca76dd3ff96c917f66d327503d7063c667b8d4db4ebcb
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_4516.JPG,chilli_cold\cerocospora\IMG_4516.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,c594f5a8fa0cd47ed400bedfcb9235f75041d0ec47ddc87571281106781ad5e2
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_5632.JPG,chilli_cold\cerocospora\IMG_5632.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,fefeea2f7f22518ecc9975bf89eaa31bf5dcbbfc775073919db8442d5b5b1da5
D:\CropDiseaseProject\chilli_cold\healthy\IMG_3432.JPG,chilli_cold\healthy\IMG_3432.JPG,healthy,1,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,451f3ba147478535b93051ca0430f2e5d3a57ac536af03ece1eb76c173ee2583
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_4652.JPG,chilli_cold\cerocospora\IMG_4652.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,f29dcd17a8253ebaa1e3c0f1299eae9a8c1af0f0890b22b7dec3cec0a84311f8
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_4032.JPG,chilli_cold\cerocospora\IMG_4032.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,bfc25b837947b582e7ce09106fb08f9f77f6ade600ae943932df7631b8a59731
D:\CropDiseaseProject\chilli_cold\nutritional deficiency\IMG_3312.JPG,chilli_cold\nutritional deficiency\IMG_3312.JPG,nutritional deficiency,3,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,f3829a3389c6c6cdbb80af50b2075b331b36c16932c821386b6980d5ae05d1a0
D:\CropDiseaseProject\chilli_cold\nutritional deficiency\IMG_4472.JPG,chilli_cold\nutritional deficiency\IMG_4472.JPG,nutritional deficiency,3,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,3447aefe0c6246d713368cbccc3f8071b759b23c13861d11ed82b3f2383b2c5c
D:\CropDiseaseProject\chilli_cold\healthy\IMG_3435.JPG,chilli_cold\healthy\IMG_3435.JPG,healthy,1,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,6575822f10d8bade0da532fccdc1e9f5fab099ddc652001ec88dd8eb92f34752
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_5046.JPG,chilli_cold\cerocospora\IMG_5046.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,ab78c335dbca25d6bdf20d84e40d091ce8d6dc93fc27122e2b890ee2cc9c01d4
D:\CropDiseaseProject\chilli_cold\healthy\IMG_3870.JPG,chilli_cold\healthy\IMG_3870.JPG,healthy,1,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,ef9fdaf79b0a08ca55de075a4ca41dc41ca7e59dbfdbe0d0f17587d53fbbf31e
D:\CropDiseaseProject\chilli_cold\healthy\IMG_3949.JPG,chilli_cold\healthy\IMG_3949.JPG,healthy,1,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,d0195d92f7e8558888ce0b765d636c0d2bd6b34b19b3c090106312cc63d8cb43
D:\CropDiseaseProject\chilli_cold\powdery mildew\IMG_5615.JPG,chilli_cold\powdery mildew\IMG_5615.JPG,powdery mildew,4,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,7b31c818f7699dca99d41b30c011b61e9b5f214d769b65871795bf8225aec9b6
D:\CropDiseaseProject\chilli_cold\healthy\IMG_3506.JPG,chilli_cold\healthy\IMG_3506.JPG,healthy,1,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,b2970e0531e43af0dc8dd69995110bc3dac806a249cd0e74e0279ad2672f6d97
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_5436.JPG,chilli_cold\cerocospora\IMG_5436.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,d129ffda0d2634243008785eb52298f24e9c8f38c4d2db2cb0388e8b7594c9d3
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_5186.JPG,chilli_cold\cerocospora\IMG_5186.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,7d1cc4658e150f11e70f27ad150f80ef8b7b618b45f3514afc2abaf1a840fd1a
D:\CropDiseaseProject\chilli_cold\murda complex\IMG_4253.JPG,chilli_cold\murda complex\IMG_4253.JPG,murda complex,2,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,0d4fe83e8b28749930906d96662ce305cd8387a8b7492837f8fe2f52071313e1
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_5018.JPG,chilli_cold\cerocospora\IMG_5018.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,324f4b5adb8e04a98116c8a85029cf6850c4ea628d6dc7d4e7478edeb0d2cbc4
D:\CropDiseaseProject\chilli_cold\healthy\IMG_3478.JPG,chilli_cold\healthy\IMG_3478.JPG,healthy,1,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,0510a8354281bece8aa6a72fa43116157b441f777773f6656f764522cbcaa34f
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_4613.JPG,chilli_cold\cerocospora\IMG_4613.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,f634774c3fe753bd1dfd955f78a17118a6fde1863ec8056d4b4c3e7b4d2e3a62
D:\CropDiseaseProject\chilli_cold\nutritional deficiency\IMG_3346.JPG,chilli_cold\nutritional deficiency\IMG_3346.JPG,nutritional deficiency,3,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,dc8cc3ae908fe83f920efc29c4ece169fb4f2413e86363e664b5ad5aa1e7d28e
D:\CropDiseaseProject\chilli_cold\powdery mildew\IMG_5499.JPG,chilli_cold\powdery mildew\IMG_5499.JPG,powdery mildew,4,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,2166c169cea175763dba77e742e81f9d45dc418824369336b697d004af29a7d2
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_4515.JPG,chilli_cold\cerocospora\IMG_4515.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,c02e551fb36d08da0a53259b915aea99778a0c7a6fbe51eb26fef5c65564d166
D:\CropDiseaseProject\chilli_cold\healthy\IMG_3952.JPG,chilli_cold\healthy\IMG_3952.JPG,healthy,1,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,13ebb5dcc486b624757714d788945ef5753d463acc30b4217442ab77d56edc3c
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_5220.JPG,chilli_cold\cerocospora\IMG_5220.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,0e913e4534b6bb3f9862778ee83ac40640f96e468b051835a14154ab83c46c24
D:\CropDiseaseProject\chilli_cold\powdery mildew\IMG_5500.JPG,chilli_cold\powdery mildew\IMG_5500.JPG,powdery mildew,4,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,f174138f18f02a59c8d0d1a0e81aae687f566debcfde0ed79141569b9a72d683
D:\CropDiseaseProject\chilli_cold\murda complex\IMG_3261.JPG,chilli_cold\murda complex\IMG_3261.JPG,murda complex,2,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,4ea8f132b6c1b62dd9368a3f9a475c94b3c59bf5fa0abf8f8d7f1ca3dd972c54
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_3584.JPG,chilli_cold\cerocospora\IMG_3584.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,305497823dfb750c1a5dcd51f61455c1442fe9e5af509f3e84e67964abe0005c
D:\CropDiseaseProject\chilli_cold\murda complex\IMG_5117.JPG,chilli_cold\murda complex\IMG_5117.JPG,murda complex,2,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,b8a0d441034e31e249c301bb478fb9db91f8bf26471dbe44140841efa6fd0abc
D:\CropDiseaseProject\chilli_cold\powdery mildew\IMG_5585.JPG,chilli_cold\powdery mildew\IMG_5585.JPG,powdery mildew,4,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,46ed39cdb351ca8f708de7b63fd01c7ab9909d280939cd30197c4814ca57a474
D:\CropDiseaseProject\chilli_cold\nutritional deficiency\IMG_3341.JPG,chilli_cold\nutritional deficiency\IMG_3341.JPG,nutritional deficiency,3,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,246027d6df73fbb2e0d19b504ba24f09ee7f2a2ae832af2a3f2b4300b8b0b619
D:\CropDiseaseProject\chilli_cold\healthy\IMG_3875.JPG,chilli_cold\healthy\IMG_3875.JPG,healthy,1,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,08bd761b75f5625fa0ecd1410078405e0629b835d79ff460e34c99c80b6bf7fb
D:\CropDiseaseProject\chilli_cold\healthy\IMG_4177.JPG,chilli_cold\healthy\IMG_4177.JPG,healthy,1,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,1e240a040673e0a3dbf27470907e427f98967df82a242e4d62d9402def55a2ab
D:\CropDiseaseProject\chilli_cold\powdery mildew\IMG_5597.JPG,chilli_cold\powdery mildew\IMG_5597.JPG,powdery mildew,4,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,4c7f0038aa5bd9f3d8dedf03533ea28474054a7eee19741c0f630eaecea4b4c7
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_5173.JPG,chilli_cold\cerocospora\IMG_5173.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,084bc156395d132fa517a83c27c2cf932137f05033d33e3b0f3eb5c2097459f4
D:\CropDiseaseProject\chilli_cold\healthy\IMG_4819.JPG,chilli_cold\healthy\IMG_4819.JPG,healthy,1,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,956559e6948804ee65e9f551bd4e6350a8eee9ec1f596990f2b4a1832d682ecd
D:\CropDiseaseProject\chilli_cold\healthy\IMG_4433.JPG,chilli_cold\healthy\IMG_4433.JPG,healthy,1,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,20a8562647cc83e1077e560eac54155a612ff49a2f75b25086eef743377e0e8a
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_4063.JPG,chilli_cold\cerocospora\IMG_4063.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,3b6d1361716dffee55b5fb188612ca7149a17e8d74abd3343a5686a45c0f5ba9
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_4667.JPG,chilli_cold\cerocospora\IMG_4667.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,9d49404f82165655acb35538225b05042080a9da4ced464e01ec1c6d2be1da5b
