image_path,relative_path,crop,class_label,ground_truth_quality,source_type,source_url_or_description,sha256_hash,notes,hash_collision_check_passed
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Early_blight\pd_real_100983448.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Early_blight\pd_real_100983448.jpg,Tomato,Tomato___Early_blight,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",98d52f733e1e23c5f5059f3ce57c762a1e0fc26028abf8750105d0250c29f670,Field leaf with concentric early blight lesions,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Early_blight\pd_real_1234080-Early-Blight.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Early_blight\pd_real_1234080-Early-Blight.jpg,Tomato,Tomato___Early_blight,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",236d96cdae7b29039c3d93147f447394c78a077fec42ce5aadbd0506a0aca0cb,Field leaf with concentric early blight lesions,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Early_blight\pd_real_Shoemaker_7068.JPG.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Early_blight\pd_real_Shoemaker_7068.JPG.jpg,Tomato,Tomato___Early_blight,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",7885910ac8d584a706d6448390c24f77e4e36ada4a75ae58b354a5642d0448b4,Field leaf with concentric early blight lesions,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Early_blight\pd_real_bugs-and-blight-061.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Early_blight\pd_real_bugs-and-blight-061.jpg,Tomato,Tomato___Early_blight,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",55570c32bf51ea713ee2dc293078ce3008986ad281a8cce626fbb264e0b44679,Field leaf with concentric early blight lesions,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Early_blight\pd_real_early_blight1-150x150.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Early_blight\pd_real_early_blight1-150x150.jpg,Tomato,Tomato___Early_blight,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",9650bd867d436b35710a6c8e5142baf3744910eee250372efe547f23d514980a,Field leaf with concentric early blight lesions,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Early_blight\pd_real_earlyblight21_.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Early_blight\pd_real_earlyblight21_.jpg,Tomato,Tomato___Early_blight,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",33051105a7999fd6346911a9de67485f5678af4af738076308b1edafada1bfe7,Field leaf with concentric early blight lesions,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Early_blight\pd_real_tomato_early-blight_01_zoom.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Early_blight\pd_real_tomato_early-blight_01_zoom.jpg,Tomato,Tomato___Early_blight,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",7571d72639461cc8de512dd2087c63cc1877322ae1954f7b4521756789c362c9,Field leaf with concentric early blight lesions,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Late_blight\pd_real_110822-206-Tomato-blight.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Late_blight\pd_real_110822-206-Tomato-blight.jpg,Tomato,Tomato___Late_blight,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",fd87cea75ee543ab40c76fb94cbc40e42d1c848e5f5dd7756e56f44d0367c734,"Field leaf with water-soaked late blight lesions, foliage clutter",True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Late_blight\pd_real_18c.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Late_blight\pd_real_18c.jpg,Tomato,Tomato___Late_blight,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",1a33cccc63bbb630a1c07cc04a1caa2ee0bbfb8f855529328076b3e725950afc,"Field leaf with water-soaked late blight lesions, foliage clutter",True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Late_blight\pd_real_636368370164094909-late-blight-15-.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Late_blight\pd_real_636368370164094909-late-blight-15-.jpg,Tomato,Tomato___Late_blight,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",d306bef21e5a4d9ddd57401a7b047a74a260f92096f443c786986cebf0402159,"Field leaf with water-soaked late blight lesions, foliage clutter",True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Late_blight\pd_real_70.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Late_blight\pd_real_70.jpg,Tomato,Tomato___Late_blight,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",26eb8199defc993cacb48533b22628d8eb5cfd092b5dbc10b8d9db509aad848a,"Field leaf with water-soaked late blight lesions, foliage clutter",True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Late_blight\pd_real_E_29Tomato-late-blight-foliar.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Late_blight\pd_real_E_29Tomato-late-blight-foliar.jpg,Tomato,Tomato___Late_blight,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",1146802ff74c97a511dedcb6bf204d3029e13734bb2d0fcc9a44bce50d2311f2,"Field leaf with water-soaked late blight lesions, foliage clutter",True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Late_blight\pd_real_IMG_5808.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Late_blight\pd_real_IMG_5808.jpg,Tomato,Tomato___Late_blight,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",f77f5a7245b8a2ff0e3640693e679ac52b036ab639bbfef405d7de4ed4768536,"Field leaf with water-soaked late blight lesions, foliage clutter",True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Late_blight\pd_real_LateBlt09_06.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Late_blight\pd_real_LateBlt09_06.jpg,Tomato,Tomato___Late_blight,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",69526a0f4413d8f8e786650a8264e460496e41e0a794747b8358c7d4074dfee6,"Field leaf with water-soaked late blight lesions, foliage clutter",True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Late_blight\pd_real_dsc_8148cs.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Late_blight\pd_real_dsc_8148cs.jpg,Tomato,Tomato___Late_blight,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",0024d2b0e3bd578375ffb676d5c5a20c3f6d82d335f8758a215a539ac3a27ff6,"Field leaf with water-soaked late blight lesions, foliage clutter",True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Late_blight\pd_real_image.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Late_blight\pd_real_image.jpg,Tomato,Tomato___Late_blight,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",85f650d777a583a5a3f528fa7c356d8b673bc8c76f635cbf9dfdae773ea446a8,"Field leaf with water-soaked late blight lesions, foliage clutter",True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Late_blight\pd_real_late_blight_tomato_leaf_spore1x1200.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Late_blight\pd_real_late_blight_tomato_leaf_spore1x1200.jpg,Tomato,Tomato___Late_blight,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",3d2fdce4dd866c8db1a76996e0115dec623b25cfa90a98e8259d6fabc038b3d2,"Field leaf with water-soaked late blight lesions, foliage clutter",True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Leaf_Mold\pd_real_49_20Leafmold_20Bottom.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Leaf_Mold\pd_real_49_20Leafmold_20Bottom.jpg,Tomato,Tomato___Leaf_Mold,MEDIUM,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",3c831e06fae662ff4a0351be082f516545b537c4df5fad003eeb1c623fd160d1,Yellowish mold patches with background clutter,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Leaf_Mold\pd_real_50_20Leafmold_20Top.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Leaf_Mold\pd_real_50_20Leafmold_20Top.jpg,Tomato,Tomato___Leaf_Mold,MEDIUM,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",038898eee33130b1e02ecee95413923d4c51b9f81bd0277c29381a479bf53f2c,Yellowish mold patches with background clutter,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Leaf_Mold\pd_real_BIGSD.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Leaf_Mold\pd_real_BIGSD.jpg,Tomato,Tomato___Leaf_Mold,MEDIUM,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",4d61613d92bdb576e294d12be4e4c8a78fd92c683eed9cdaf8f43b2eaa9bdad5,Yellowish mold patches with background clutter,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Leaf_Mold\pd_real_black_leaf_mold_in_zina_tina.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Leaf_Mold\pd_real_black_leaf_mold_in_zina_tina.jpg,Tomato,Tomato___Leaf_Mold,MEDIUM,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",555167747a5a251e3df7053d441bedf96d9707027d572d606313bf4f71483ef5,Yellowish mold patches with background clutter,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Leaf_Mold\pd_real_dscn6689.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Leaf_Mold\pd_real_dscn6689.jpg,Tomato,Tomato___Leaf_Mold,MEDIUM,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",e64cf32592c83208ed72d4e5ccee2f3bbfe5aec8f108d3f3db9a43cce7ea95fb,Yellowish mold patches with background clutter,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Leaf_Mold\pd_real_fungus-univ-of-minnesoeta.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Leaf_Mold\pd_real_fungus-univ-of-minnesoeta.jpg,Tomato,Tomato___Leaf_Mold,MEDIUM,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",bfdd82a0f88aab850f5f214c7104d42d4266c11400b47285563b18693b4aa9f8,Yellowish mold patches with background clutter,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Septoria_leaf_spot\pd_real_0.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Septoria_leaf_spot\pd_real_0.jpg,Tomato,Tomato___Septoria_leaf_spot,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",c7e82b8ce320acec30c35a89e73490618e425c76d3c80d2d88a3053d39e9709e,Distinct dark circular septoria specks on field foliage,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Septoria_leaf_spot\pd_real_2STEM.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Septoria_leaf_spot\pd_real_2STEM.jpg,Tomato,Tomato___Septoria_leaf_spot,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",a8844aed418d61e8db0e2ef68c9da1ede9c0e3800e0756b6fbf02e0247ad1b7c,Distinct dark circular septoria specks on field foliage,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Septoria_leaf_spot\pd_real_2septoria-tomato.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Septoria_leaf_spot\pd_real_2septoria-tomato.jpg,Tomato,Tomato___Septoria_leaf_spot,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",b3404b141d9bda7cea19fa8dff6cef38da2a6e3f0a38fb6778713118578c13fc,Distinct dark circular septoria specks on field foliage,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Septoria_leaf_spot\pd_real_55830b60a7cf2.image.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Septoria_leaf_spot\pd_real_55830b60a7cf2.image.jpg,Tomato,Tomato___Septoria_leaf_spot,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",9dbcc935858b4fcc4b4f6c895c48045735b1f577959e995f2941bf761e42390a,Distinct dark circular septoria specks on field foliage,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Septoria_leaf_spot\pd_real_6134794031202304.jpeg.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Septoria_leaf_spot\pd_real_6134794031202304.jpeg.jpg,Tomato,Tomato___Septoria_leaf_spot,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",5fc6710f54773260cd3d3f1444e1a3aa29a9b55c64065ab8eb12851bd4b9b9c5,Distinct dark circular septoria specks on field foliage,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Septoria_leaf_spot\pd_real_636227737977191231-septoria-leaf-spot-VT.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Septoria_leaf_spot\pd_real_636227737977191231-septoria-leaf-spot-VT.jpg,Tomato,Tomato___Septoria_leaf_spot,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",519210b5c98e67f1ec0a0705b12ed0b28625e2e514b472c86d8d3d1ba7256365,Distinct dark circular septoria specks on field foliage,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Septoria_leaf_spot\pd_real_6447731_orig.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Septoria_leaf_spot\pd_real_6447731_orig.jpg,Tomato,Tomato___Septoria_leaf_spot,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",2d87a16ce8325e687e246afc29a9b6468cddc7841d113ac7d4948b0fefee6197,Distinct dark circular septoria specks on field foliage,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Septoria_leaf_spot\pd_real_7-17-Photo3_Septoria-MARY.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Septoria_leaf_spot\pd_real_7-17-Photo3_Septoria-MARY.jpg,Tomato,Tomato___Septoria_leaf_spot,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",c80add2c370abf75ee50396e7dec72b686732c7474df5bbba02343ae504751c9,Distinct dark circular septoria specks on field foliage,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Septoria_leaf_spot\pd_real_RARZ4.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Septoria_leaf_spot\pd_real_RARZ4.jpg,Tomato,Tomato___Septoria_leaf_spot,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",2005cb2706dc299ac16e5be8b42e705da41d4aae2d6fe17f24e87466a6a856fa,Distinct dark circular septoria specks on field foliage,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Septoria_leaf_spot\pd_real_early-blight-septoria-ls-fig-3.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Septoria_leaf_spot\pd_real_early-blight-septoria-ls-fig-3.jpg,Tomato,Tomato___Septoria_leaf_spot,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",93c989d8551209bf34d4002ee9fae48ddbf6ab66fc3c27466c0473bcc7c0a2b7,Distinct dark circular septoria specks on field foliage,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Septoria_leaf_spot\pd_real_sept4disease-019.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Septoria_leaf_spot\pd_real_sept4disease-019.jpg,Tomato,Tomato___Septoria_leaf_spot,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",3398df03c7b73de34b61da8df99de69a7f2448b800356be6809fa9edddc6abce,Distinct dark circular septoria specks on field foliage,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\pd_real_11-40580_5.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\pd_real_11-40580_5.jpg,Tomato,Tomato___Tomato_Yellow_Leaf_Curl_Virus,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",1f62f0f3eabfd7d955f212d852f4143e8f0bb49077e9350f641696749f595d01,Field plant showing stunted curling and yellowing,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\pd_real_17fc47.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\pd_real_17fc47.jpg,Tomato,Tomato___Tomato_Yellow_Leaf_Curl_Virus,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",e75892c6833fde9fddcf03d8d0529863c2827c91f971ac18b92d8dc2546a769d,Field plant showing stunted curling and yellowing,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\pd_real_8226402877_9abf151b5b_b.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\pd_real_8226402877_9abf151b5b_b.jpg,Tomato,Tomato___Tomato_Yellow_Leaf_Curl_Virus,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",3f9a9d33fdcdd8e091a878416ddf9360148a7c9b7a28293339c83402b480b1e0,Field plant showing stunted curling and yellowing,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\pd_real_fwa2013313115151.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\pd_real_fwa2013313115151.jpg,Tomato,Tomato___Tomato_Yellow_Leaf_Curl_Virus,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",9ac4376dfcbf51d037888a2183aa8984cf60ec0227fe82dcdd7b49275df6d38a,Field plant showing stunted curling and yellowing,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\pd_real_glyphosate.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\pd_real_glyphosate.jpg,Tomato,Tomato___Tomato_Yellow_Leaf_Curl_Virus,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",fa18a5b4f6d307b52db63d16e7fa0cdcda2804c4316631273df9470819dac16f,Field plant showing stunted curling and yellowing,True
