image_path,relative_path,crop,class_label,source_dataset,source_url_or_citation,sha256_hash,hash_collision_check_passed
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_1723454504369.jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_1723454504369.jpg,Tomato,Tomato___Early_blight,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),af6ede8aeecc85e555f822af0d536f1a0acee525c17e61878a884dfee0e7d37a,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_1723454506040.jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_1723454506040.jpg,Tomato,Tomato___Early_blight,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),a25442242025542e7df5a19c6cc7e3da17bd74163ddafde661c2bf5c4c9198b0,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_1723454507087.jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_1723454507087.jpg,Tomato,Tomato___Early_blight,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),2637da06ecdabd6e4b75b5a2f6f224a51c0c0e3995e8d043d3b488ec8885e464,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_1723454507240.jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_1723454507240.jpg,Tomato,Tomato___Early_blight,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),e9b2ec69c792573bcc34e31129c82d1b98437564010bbf86ec38a63781d58687,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_1723454507692.jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_1723454507692.jpg,Tomato,Tomato___Early_blight,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),44268eff421df537047fa1b9880e77c37080a0c1d6bb3230281446359b9abfd2,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_1723454507847.jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_1723454507847.jpg,Tomato,Tomato___Early_blight,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),cc5c108b629826ffcd5b27f9878513938c5a17036e95195ebc26742235d5c627,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_20080526-_DSC4211.jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_20080526-_DSC4211.jpg,Tomato,Tomato___Early_blight,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),3152eb37a0a7f6e9b89d75f8bcef5d1dfe8306631fa4080a00fb0a0cd3ad05da,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_BCH%20medium%20thumbnail%20for%20upload%20%2836%29.jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_BCH%20medium%20thumbnail%20for%20upload%20%2836%29.jpg,Tomato,Tomato___Early_blight,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),be84048ef0f394ed981c12d457700d1c24edc3b210fa3d0c8ebd1deb73f7fb3b,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_Diseased-Tomato-Plant.jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_Diseased-Tomato-Plant.jpg,Tomato,Tomato___Early_blight,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),207e6d9c3b2fb702ac22d551d7add6f5df1dc20921f66ebbb25250d211e5aa4a,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_EBTomato.jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_EBTomato.jpg,Tomato,Tomato___Early_blight,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),9145ae957dc02636c9cae1d25e9b43fdc0ee330eb7131b12e244457d684ba326,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_EB_(972).jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_EB_(972).jpg,Tomato,Tomato___Early_blight,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),a218e87485e3460381942c140ec90e1015e08885f990d9271606b9a33b4c8d09,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_EB_(973).jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_EB_(973).jpg,Tomato,Tomato___Early_blight,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),7a4acf69b4c2e40021ae5c225a9e82b7a4d0a19977401033cff9c57771d3b439,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_EB_(981).jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_EB_(981).jpg,Tomato,Tomato___Early_blight,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),f54d8cf627857c535b768b40927f5fe54cad4aa546d0bb1ae91c5d78a30ab442,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_EB_(991).jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_EB_(991).jpg,Tomato,Tomato___Early_blight,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),d9184e763d4bab679a6227ddbacc931f2b869df0c0c1d7a4fd57b54c33951004,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_EB_(992).jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_EB_(992).jpg,Tomato,Tomato___Early_blight,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),00267e1c492f34fbac534cd9994b7b1f039e8ef03d733ca4fcd429e5d4bfe105,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_Early-Blight.jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_Early-Blight.jpg,Tomato,Tomato___Early_blight,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),e3634f7c73f007a9ac241a1cdb1a58be2eac23d62279473e8bc8c4f5ef632c67,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_Early-blight-660x440.jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_Early-blight-660x440.jpg,Tomato,Tomato___Early_blight,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),6ae670ce5fcc26e159e08bca37c94426614d50c836b337e8bc645cd52579fde2,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_Early-blight-of-tomato-980x380.jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_Early-blight-of-tomato-980x380.jpg,Tomato,Tomato___Early_blight,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),a998c2e60637f599fc86f1b7b08dc66fea2998807ac546fb1151a50fbfdfe0d1,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_Early_Blight_of_Tomato1687.jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_Early_Blight_of_Tomato1687.jpg,Tomato,Tomato___Early_blight,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),12ce0c3a8c2a2004e28e6927eddfa5199c1e7b5e1bc3f2cf6f1d9eb43824f620,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_Early_blight_1.jpg_1376579808.jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_Early_blight_1.jpg_1376579808.jpg,Tomato,Tomato___Early_blight,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),c1f5d68c2bc5aaf510a4bec559182542013b7ca1acc253dd5881a2fd5c1db1d0,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_003.JPG.jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_003.JPG.jpg,Tomato,Tomato___healthy,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),b070fe8ff66dc8071997ee06f13d31ff5bf7c5348eab09a9f5ef39b76861b50f,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_009-e1373768789869.jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_009-e1373768789869.jpg,Tomato,Tomato___healthy,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),81c48f1873998fb9ea1f5262bbecf6271dc142c5fe668fa4af7c5df4b5186710,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_100_8283.jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_100_8283.jpg,Tomato,Tomato___healthy,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),2e6dc8d894d71a2b75362f3edacf4f0caf9e27ce68bb85508f4e4f86511970d7,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_2013-08-20-03.jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_2013-08-20-03.jpg,Tomato,Tomato___healthy,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),5e2472f415aeb8e7cc254db1f17b2d14a4f2daae70b685ee8a70a29f0f99308a,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_20130609_151253_zpsc7d93f62.jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_20130609_151253_zpsc7d93f62.jpg,Tomato,Tomato___healthy,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),887ceedf22efce49400c63d57e1512418f874ad3409548cc41a64508e4a5abef,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_20140818-tomato-sauce-vicky-wasik-1.jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_20140818-tomato-sauce-vicky-wasik-1.jpg,Tomato,Tomato___healthy,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),b841720c688db5f8a1989394b8f5aaf59c1a9ce5a855d66ad843be928db7c41a,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_2015-09-17-01.jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_2015-09-17-01.jpg,Tomato,Tomato___healthy,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),1c73f9e07e567ca8d697f013806b9fdafad0520bc096967218fc6cecd417caf4,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_69_27_632_1200.jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_69_27_632_1200.jpg,Tomato,Tomato___healthy,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),8b2d3f70c1ee0805e04956ff4949bf62312be22b49a5c3e3a7dc26299b6c0901,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_Basil%2Binfected%2Bby%2BTomato%2BSpotted%2BWilt%2BVirus.jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_Basil%2Binfected%2Bby%2BTomato%2BSpotted%2BWilt%2BVirus.jpg,Tomato,Tomato___healthy,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),9b0207d6b0db32bf77b33ad7efdd5f9cbed2f4e085d8ad86f335e5485543e08f,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_Brown-Spots-on-Tomato-Leaves.jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_Brown-Spots-on-Tomato-Leaves.jpg,Tomato,Tomato___healthy,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),23720085fb321ea981d32857dcb3654ac0b4fb7c029be24ff886c759fd697ed4,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_Fig-2.jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_Fig-2.jpg,Tomato,Tomato___healthy,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),75bcfcb736bcdabbf38a590620688985893c366548978ce1cee9e77d62e881a9,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_HL_(102).jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_HL_(102).jpg,Tomato,Tomato___healthy,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),f20dcd9f222b376d6e2a2da303baadeb4c082c95cc8313c7ca1bab2fe0604efc,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_HL_(103).jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_HL_(103).jpg,Tomato,Tomato___healthy,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),7deeb81b9cd64b44187ade0f7f62a15237233cb29d9afd4b899afc990184464a,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_HL_(110).jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_HL_(110).jpg,Tomato,Tomato___healthy,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),09ea2163f2ce6235f00d1ff2f2397322a6796e97fbced3fb081037bed6d07487,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_HL_(119).jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_HL_(119).jpg,Tomato,Tomato___healthy,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),4d3eeadaf86bc214d763773673efb04331fe1189e4f918be5e91ecc5453b7dbc,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_HL_(128).jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_HL_(128).jpg,Tomato,Tomato___healthy,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),8f5c1ba64ce4686551686fdd7b44a0644818962204f3ff98d811d49008974e79,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_HL_(138).jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_HL_(138).jpg,Tomato,Tomato___healthy,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),0a371a4e34f3bf3cba68b2b11f79a34a421ac85113a37b7fe6a9383000baf0c0,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_HL_(148).jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_HL_(148).jpg,Tomato,Tomato___healthy,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),1938db93fab0a1c16c6332142ffa459dab619dca2573ff08ad8da33bef18f545,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_HL_(149).jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_HL_(149).jpg,Tomato,Tomato___healthy,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),4a8c4c23bf6c44fea0b890c6119ffcc12b48aa06d97aa18848b1c77ada43a3b0,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_HL_(161).jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_HL_(161).jpg,Tomato,Tomato___healthy,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),2c6dddbf7686cff23ffaa95fc7fa6652fe7beea037782e2555e97836a73e7b8a,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_HL_(3).jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_HL_(3).jpg,Tomato,Tomato___healthy,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),67fee2ee91add5373f3bdd4c52f92adb15277864c2f8f416c53be446f30ead2e,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_HL_(31).jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_HL_(31).jpg,Tomato,Tomato___healthy,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),3939bedbdd597ee39fc74bf1a76772765082e4586ca4029a3169feadee1506a5,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_HL_(36).jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_HL_(36).jpg,Tomato,Tomato___healthy,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),356f9de00f0ef794de790bcd76200255fe2dbbf027ebdc2fb23607dde218141b,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_HL_(43).jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_HL_(43).jpg,Tomato,Tomato___healthy,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),d052c3663489cf27b32d2e62284f5200afa43c42c67f3d3517e1e792c6612a73,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_HL_(5).jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_HL_(5).jpg,Tomato,Tomato___healthy,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),d18871798c866d452749fc1b54a53eff916e997ccd663622f17077fc375d480b,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_HL_(71).jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_HL_(71).jpg,Tomato,Tomato___healthy,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),cbf4ca1b32bb13540562cf94f388f01d2af54fa42258e09ce6a68cf6b591eeb9,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_HL_(77).jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_HL_(77).jpg,Tomato,Tomato___healthy,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),bef8706f6142be794a234f4e440d86be7d9582b5dd10ba18e0fd141b40b29f6c,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_HL_(78).jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_HL_(78).jpg,Tomato,Tomato___healthy,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),b4574f350b69c973297e35870119703b4d0fea1b7d71493b30b10874338c8b28,True
