dataset,class,file
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\062e43fa-d640-4e2a-b57f-6d819632235f___UF.GRC_BS_Lab Leaf 8853.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\06ac210d-bdb1-4224-9053-c218cb14fa60___GCREC_Bact.Sp 3220.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\06c56818-dc01-4603-b93c-1be193f95178___GCREC_Bact.Sp 5831.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\06f23987-e01b-40dc-98ef-a5b33e86bc90___UF.GRC_BS_Lab Leaf 0308.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\070228e2-ba4e-4de8-813b-074e51ed6f5a___UF.GRC_BS_Lab Leaf 0661.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\07238109-52ed-4369-b16c-6f5844858b81___UF.GRC_BS_Lab Leaf 0447.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\07246956-b38c-4d28-acec-85d032ba989e___UF.GRC_BS_Lab Leaf 0278.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\07458546-6893-49c8-b94f-edde706b19fa___GCREC_Bact.Sp 3835.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0756753c-decb-4344-892f-4677b8215f0f___GCREC_Bact.Sp 5778.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\075caa8d-0748-441c-a365-754b43a5b538___GCREC_Bact.Sp 5625.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\07957e12-d57c-45db-9243-731dd6b8caaa___GCREC_Bact.Sp 5878.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\07de82e1-7258-4c8d-a595-cb2334f02fb4___UF.GRC_BS_Lab Leaf 0418.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\07f5c629-92da-49ad-b132-6268199882f8___GCREC_Bact.Sp 3362.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\083959e5-833b-4c10-9215-0b0aca81c8ca___UF.GRC_BS_Lab Leaf 0297.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\086880d1-73c4-40d3-99ea-d446c2299692___GCREC_Bact.Sp 3333.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\086dd5ed-279a-458b-aa4a-1484305ac21c___UF.GRC_BS_Lab Leaf 8835.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\087cec29-0b94-4fd0-9c29-92f50cc8155f___UF.GRC_BS_Lab Leaf 0289.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\088a515b-7dd2-469a-b921-6a7de9edb7db___GCREC_Bact.Sp 3365.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\08a25478-76ed-4e4c-8ad0-bc7322f050b0___GCREC_Bact.Sp 3028.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\08b479e4-0063-41e5-b85d-279b9aedd38f___UF.GRC_BS_Lab Leaf 0485.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\09442ca2-e279-4937-8ba0-faa85901f199___GCREC_Bact.Sp 5643.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\095f2dd4-7e65-44ab-a867-c5d9634ec532___GCREC_Bact.Sp 3801.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\098b62a4-f92b-4c0d-9ab9-a6061a9d1625___GCREC_Bact.Sp 2955.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\09c1a12a-ad44-4522-9755-851d6a042f02___GCREC_Bact.Sp 5585.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\09ebe433-a21f-4ffe-9954-e3ce4347143f___UF.GRC_BS_Lab Leaf 1084.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0a1655ed-797c-4d1d-ba35-dc255d68a2ee___GCREC_Bact.Sp 3560.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0a64655c-4052-4e5f-a696-2a6cf25d10c9___GCREC_Bact.Sp 6017.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0aa1c431-682b-4a6e-af5f-2a7081ea2e97___GCREC_Bact.Sp 3622.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0ab41c2e-c6fc-4ef1-9ffb-ce1b241d32be___GCREC_Bact.Sp 3426.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0ab54691-ba9f-4c1f-a69b-ec0501df4401___GCREC_Bact.Sp 3170.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0ab9c705-f29e-45ac-b786-9549b3c38f16___GCREC_Bact.Sp 3223.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0ac8c80f-6d67-46ee-b662-8265d9df9183___GCREC_Bact.Sp 6115.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0ad66523-0fca-464d-a6e9-ca2d629e8058___GCREC_Bact.Sp 5945.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0ad88d7a-c14a-4ac9-8520-c11a0ade3a8f___UF.GRC_BS_Lab Leaf 0996.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0afe3bbd-b18b-4c70-8fbd-072844e742a2___GCREC_Bact.Sp 3434.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0b13b997-9957-4029-b2a4-ef4a046eb088___UF.GRC_BS_Lab Leaf 0595.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0b37769a-a451-4507-a236-f46348e3a9ac___GCREC_Bact.Sp 3265.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0bd31a6a-b084-48c0-b379-3062bde11162___GCREC_Bact.Sp 2974.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0c09c121-e945-4b7e-acbf-dff4e0d01acb___GCREC_Bact.Sp 3379.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0c2ee2f1-e725-4031-96ea-57e3b8b626b3___GCREC_Bact.Sp 5645.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0c32d6d5-bf5b-4904-8108-d7a901f2cb6b___UF.GRC_BS_Lab Leaf 8662.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0c5eb8e4-e0fb-424a-8873-e43f9a6121ef___GCREC_Bact.Sp 6281.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0c883752-3334-4615-841d-287d58ecf60d___GCREC_Bact.Sp 6119.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0c9b7dd9-a0c7-4b6e-bb4d-b2e3cab833d0___GCREC_Bact.Sp 6081.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0cc3364e-3f2a-42b2-aefe-5af03dad2966___GCREC_Bact.Sp 5580.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0ce4dee0-2d0c-4c25-a9b2-4abc5f9083db___GCREC_Bact.Sp 3708.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0d227915-443b-402c-8a25-cc43434c4bb0___GCREC_Bact.Sp 5913.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0d56df83-84fb-4189-a5d2-3a6da18a224d___UF.GRC_BS_Lab Leaf 9029.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0d922399-7ba5-4d12-b84e-bb4b966c58ae___GCREC_Bact.Sp 6307.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0da838ea-fd8c-43c0-a437-4aba96234262___UF.GRC_BS_Lab Leaf 8770.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0db0e663-b580-45b3-bd20-bc8a7f3d8b34___GCREC_Bact.Sp 6189.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0de30b71-8bd0-4270-a65b-7ae8befdd765___GCREC_Bact.Sp 6360.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0e16b13c-0308-4199-a823-c6c2ab944023___GCREC_Bact.Sp 3068.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0e3ded7b-0b9e-4c11-9db7-38eba7e0bdb2___GCREC_Bact.Sp 3598.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0e591ff9-a58f-4748-ac0f-984233f441af___GCREC_Bact.Sp 3292.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0e94696b-3e0d-4d4c-a712-01197e228cf1___UF.GRC_BS_Lab Leaf 8641.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0ed4877b-be80-4b85-8754-ac13d794ca2f___GCREC_Bact.Sp 6198.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0ed6d8f5-dd9f-4f1d-a33d-2f556be12a27___UF.GRC_BS_Lab Leaf 0291.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0eeb4776-110d-4100-8c88-26a64eb05b22___GCREC_Bact.Sp 6101.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0f1d337f-e8c5-445a-83a0-b89915eacb72___UF.GRC_BS_Lab Leaf 0435.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0f3160b6-4cd4-486f-b0cf-269e406c41b5___GCREC_Bact.Sp 3522.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0f4ce5ef-5ecf-4c5d-b301-3b5a44e3a1c8___UF.GRC_BS_Lab Leaf 0408.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0f6384da-7338-4309-b6b2-0d4b1dfe9de3___GCREC_Bact.Sp 6039.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0f81cc91-5b9b-4061-a127-74105ebbcccf___GCREC_Bact.Sp 6305.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0f952ca0-e30b-4075-8bb9-1ebccb8aeb9f___GCREC_Bact.Sp 3326.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0fac0401-b9dc-49a0-9011-2cd3eb906107___GCREC_Bact.Sp 3144.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0fe8eb74-5520-4870-a069-d4f54b99d719___GCREC_Bact.Sp 6330.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0ff228a7-60f4-47f0-b1a3-96969a63105f___GCREC_Bact.Sp 6056.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\1061c5d5-6c61-40a6-b8e7-4cc735109f94___GCREC_Bact.Sp 3341.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\10c418e8-59b3-4d9f-a22b-7762b538e758___UF.GRC_BS_Lab Leaf 0900.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\10ed1b4a-e116-4c7e-85f6-5cc4577dbbb8___GCREC_Bact.Sp 3188.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\10eddc16-1127-4de1-832e-6ae55cc0f953___GCREC_Bact.Sp 6180.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\10fb9d55-efe1-4b52-9c19-23e7031c4cb6___GCREC_Bact.Sp 5559.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\111a63c7-6445-47a4-a0d6-9157fd82b804___UF.GRC_BS_Lab Leaf 0565.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\1120ddb9-d30f-4683-adf6-a30779648b49___GCREC_Bact.Sp 3408.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\116f4d08-405e-492c-a8b2-dd596b19b820___GCREC_Bact.Sp 3053.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\11a25ab9-8a55-4891-898c-ef29c0502fa2___GCREC_Bact.Sp 3531.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\11fab8c8-08bb-476a-956b-cbf38b368643___UF.GRC_BS_Lab Leaf 8737.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\12071472-8b0f-494e-994e-8abff2082ec4___GCREC_Bact.Sp 6130.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\12159ce5-93ff-4ef3-b1ca-0bf130278818___GCREC_Bact.Sp 3565.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\12168e10-ea77-4d6b-841e-bfe48e141cee___GCREC_Bact.Sp 6085.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\12440deb-4c37-42ed-a6ea-dcb018b52620___GCREC_Bact.Sp 3436.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\129f7d8d-d261-4aa6-b6ef-55a37851ac3e___UF.GRC_BS_Lab Leaf 0380.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\12e9560a-01a5-4d97-a911-409c11cd0301___GCREC_Bact.Sp 3117.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\12eda6e1-d42f-4e52-b04f-ff4f4d932783___GCREC_Bact.Sp 6275.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\12f5fc61-6113-4baa-b1d4-c619bc895323___GCREC_Bact.Sp 3262.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\132e8a85-470e-4a7d-8535-c97ffcff7b0b___GCREC_Bact.Sp 3239.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\1347d766-5747-4d71-b05f-0211e79930b4___GCREC_Bact.Sp 6227.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\1359bde0-60d2-497b-8a90-d59f9efb5fc1___GCREC_Bact.Sp 3278.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\13a0b443-c0b3-45fe-a22d-965a87a9b45e___GCREC_Bact.Sp 3108.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\13affc42-3a89-4a99-97aa-98f41682a71e___UF.GRC_BS_Lab Leaf 0546.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\13b8bbd3-32cf-4c69-bffb-870b7b6720e0___UF.GRC_BS_Lab Leaf 8890.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\13bd3ff5-3ecf-4258-9f89-5892ebfa362f___GCREC_Bact.Sp 3080.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\13cc9108-fcd9-4e6f-aed4-01813cebc881___UF.GRC_BS_Lab Leaf 8611.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\13fac2e9-a25f-4ac1-89c4-adbd143bb0a1___GCREC_Bact.Sp 3376.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\1406a6e5-8aab-44df-997a-6386c01dc086___GCREC_Bact.Sp 5974.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\140ee344-ae36-403a-ace1-21d45f67ce57___GCREC_Bact.Sp 2969.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\144352ee-0f8d-44cc-9db1-c4f27eb5a00a___GCREC_Bact.Sp 3284.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\14707115-d4c3-4e6b-9895-d1613116fd3f___GCREC_Bact.Sp 3490.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\147fdb22-0a8b-46d7-8573-784d29b9d9cc___GCREC_Bact.Sp 6386.JPG
